!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
zieger|s i e ɰ e ɾ
zillah|s ɪ l l a h
zipped|s ɪ p e d
zizzo|s ɪ t s o
zucker(2)|s ʊ k e ɾ
addis-ababa|ʔ ɐ dː ɪ s ɐ b ɐ b a
adheres|ʔ ɐ d h e ɾ e s
adjudge|ʔ ɐ d͡ʒ u d͡ʒ e
adjusts(2)|ʔ ɐ d͡ʒ ʊ s t s
administrating|ʔ ɐ d m ɪ n ɪ s t ɾ a t ɪ ŋ
adragna|ʔ ɐ d ɾ ɐ ɡ n a
adulterers|ʔ ɐ d ʊ l t e ɾ e ɾ s
advancing|ʔ ɐ d b a n s ɪ ŋ
adverbs|ʔ ɐ d b e ɾ b s
advise(2)|ʔ ɐ d b i s e
affections|ʔ ɐ f e k ʃ o n s
affronted|ʔ ɐ f f ɾ o n t e d
aflutter|ʔ ɐ f l ʊ t e ɾ
africa(3)|ʔ ɐ f ɾ i x ɐ s e
afsane's|ʔ ɐ f s a n e s
agers|ʔ ɐ ɰ e ɾ s
aggrandizing(2)|ʔ ɐ ɡ ɡ ɾ ɐ n d ɪ s i ŋ k
agitating|ʔ ɐ ɰ ɪ t a t ɪ ŋ
agostinelli|ʔ ɐ ɰ o s t ɪ n e l l ɪ
agrivisor|ʔ ɐ ɡ ɾ ɪ b ɪ s o ɾ
aguillar|ʔ ɐ ɰ ɪ l j a ɾ
ahart|ʔ ɐ h a ɾ t
ahner|ʔ ɐ h n e ɾ
ailing|ʔ ɐ ʔ ɪ l i ŋ
ainge|ʔ ɐ ʔ ɪ ŋ e
airington|ʔ ɐ ʔ ɪ ɾ ɪ ŋ t o n
ajaj|ʔ ɐ h a d͡ʒ
al's|ʔ ɐ l s
alaine|ʔ ɐ l ɐ ʔ i n e
albani's|ʔ ɐ l b a n ɪ s
albea|ʔ ɐ l b e ɐ
alberts|ʔ ɐ l b e ɾ t͡s
aleatory|ʔ ɐ l e ɐ t o ɾ ɪ
aleron|ʔ ɐ l e ɾ o n
alfalfa|ʔ ɐ l f a l f ɐ
allard|ʔ ɐ l l a ɾ d
allendale|ʔ ɐ l l e n d a l e
alleviated(2)|ʔ ɐ l l e b ɪ ɐ t e d
allies'|ʔ ɐ l i s
allmendinger|ʔ ɐ l l m e n d ɪ ŋ e ɾ
alot|ʔ ɐ l o t
alpo|ʔ ɐ l p o
altruism|ʔ ɐ l t ɾ u ʔ ɪ s m
amcole|ʔ ɐ m k o l e
americorps|ʔ ɐ m e ɾ ɪ x o ɾ p s
amerson|ʔ ɐ m e ɾ s o n
amgen's|ʔ ɐ m ɡ e n s
amidi|ʔ ɐ m i d ɪ
amiram|ʔ ɐ m i ɾ ɐ m
amoco|ʔ ɐ m o x o
amphibole(2)|ʔ ɐ m p h ɪ b o l e b e
amspacher|ʔ ɐ m s p ɐ t͡ʃ e ɾ
anamaria|ʔ ɐ n ɐ m a ɾ j ɐ
anarchic|ʔ ɐ n a ɾ t͡ʃ ɪ k
andrea(2)|ʔ ɐ n d ɾ e ɐ b i
andresen|ʔ ɐ n d ɾ e s e n
andrzejewski|ʔ ɐ n d ɾ s e h e ʊ̯ s k i
anesthesiologists(2)|ʔ ɐ n e s t h e s ɪ o l o ɰ ɪ s t s
angeleno(2)|ʔ ɐ ŋ e l e n o
angeline(2)|ʔ ɐ ŋ e l i n e
anixter|ʔ ɐ n ɪ k s t e ɾ
anna's|ʔ ɐ n a s
annett|ʔ ɐ n e t
annuities|ʔ ɐ n n u ɪ t͡ʃ e s
anona|ʔ ɐ n o n ɐ
ansett|ʔ ɐ n s e t
answer's|ʔ ɐ n s w e ɾ s
antar's|ʔ ɐ n t a ɾ
anteriormost|ʔ ɐ n t e ɾ j o ɾ m o s t
antos|ʔ ɐ n t o s
anyone(2)|ʔ ɐ ɲ o n e
apartheid(2)|ʔ ɐ p ɐ ɾ t h e ɪ̯ d ʒ u
apelike|ʔ ɐ p e l i x e
appalls|ʔ ɐ p a l l s
appearing|ʔ ɐ p e ɐ ɾ i ŋ
appliances(2)|ʔ ɐ p l ɪ ɐ n s e s
apprehensive(2)|ʔ ɐ p p ɾ e h e n s ɪ b e
approximate(2)|ʔ ɐ p ɾ o k s ɪ m a t e
aquilar|ʔ ɐ x ɪ l a ɾ
arbitron|ʔ ɐ ɾ b ɪ t ɾ o n
arby's|ʔ ɐ ɾ b i s
archambeau|ʔ ɐ ɾ t͡ʃ ɐ m b e a ʊ̯
arentz|ʔ ɐ ɾ e n t͡s
argonauts|ʔ ɐ ɾ ɡ o n a ʊ̯ t͡s
aristide|ʔ ɐ ɾ ɪ s t i d e
armacost|ʔ ɐ ɾ m a x o s t
arming|ʔ ɐ ɾ m i ŋ
arousal|ʔ ɐ ɾ o ʔ ʊ s a l
arrupe|ʔ ɐ ɾ u p e
arteaga|ʔ ɐ ɾ t e ɐ ɰ ɐ
artz|ʔ ɐ ɾ t͡s
aschoff|ʔ ɐ s t͡ʃ o f
asean(2)|ʔ ɐ s e ɐ n
ashbury|ʔ ɐ s h b u ɾ ɪ
ashton's|ʔ ɐ s h t o n s
assante|ʔ ɐ s a n t e
asselin|ʔ ɐ s e l i n
assertively|ʔ ɐ s e ɾ t i b l ɪ
assimilate|ʔ ɐ s ɪ m ɪ l a t e
associate(4)|ʔ ɐ s o ʃ ɐ t e
astle|ʔ ɐ s t l e
atlantic's|ʔ ɐ t l a n t ɪ k s
attainder|ʔ ɐ t ɐ ʔ ɪ n d e ɾ
attribute(2)|ʔ ɐ t ɾ ɪ b ʊ t e ʔ e
aube|ʔ a ʊ̯ b e
aufderheide|ʔ a ʊ̯ f d e ɾ h a ɪ̯ d e
augustinians|ʔ a ʊ̯ ɰ ʊ s t i ɲ ɐ n s
austro|ʔ a ʊ̯ s t ɾ o
authentically(2)|a ʊ̯ t h e n t ɪ x ɐ l l i
autoradiograph|ʔ a ʊ̯ t o ɾ ɐ d͡ʒ o ɡ ɾ a p
auxiliary(2)|ʔ a ʊ̯ k s ɪ l j a ɾ ɪ x
avenall|ʔ ɐ b e n a l l
average(3)|ʔ ɐ b e ɾ a ɰ e
aviazione|ʔ ɐ b j ɐ ʃ o n e
avtovaz|ʔ ɐ b t o b ɐ s
axes(2)|ʔ ɐ k s e s
ayscue|ʔ a ɪ̯ s k w e
azhar's|ʔ ɐ s h a ɾ
babbitt's|b ɐ b b i t s
backfired|b ɐ k f a ɪ̯ ɐ d
backsliding|b ɐ k s l i d ɪ ŋ
bacorn|b ɐ x o ɾ n
badalamenti|b ɐ d ɐ l ɐ m e n t ɪ
badness|b ɐ d n e s
baidoas|b ɐ ʔ ɪ d o ɐ s
bailin|b ɐ ʔ ɪ l i n
balbo|b ɐ l b o
baldridge|b ɐ l d ɾ i d͡ʒ e
ballpoints|b ɐ l p o ʔ ɪ n t s
baloga|b ɐ l o ɰ ɐ
balthrop|b ɐ l t h ɾ o p
bancario|b ɐ ŋ k a ɾ ɪ o
bandaged|b ɐ n d ɐ ɰ e d
banpais|b ɐ m p a ʔ ɪ s
bantle|b ɐ n t l e
banya|b ɐ ɲ a ʔ
baptize|b ɐ p t i s e
barash|b ɐ ɾ a ʃ
barbagallo|b ɐ ɾ b ɐ ɰ a l l o
barclays's|b ɐ ɾ k l a ɪ̯ s ɪ s
bared|b ɐ ɾ e d
bargmann|b ɐ ɾ ɡ m a n ə n
barkes|b ɐ ɾ k e s
barnaby's|b ɐ ɾ n a b ɪ s
barr's|b ɐ ɾ ɾ s
barricada|b ɐ ɾ ɪ x a d ɐ
barsky|b ɐ ɾ s k i
barthelme's|b ɐ ɾ t h e l m e s
bartol|b ɐ ɾ t o l
barwick|b ɐ ɾ w i k
basford|b ɐ s f o ɾ d
basketball's|b ɐ s k e t b ɐ l s
basses(2)|b ɐ s e s
bathrobes|b ɐ t h ɾ o b e s
battlements|b ɐ t l e m e n t s
bauermeister|b a ʊ̯ e ɾ m e ɪ̯ s t e ɾ
baumholder(2)|b a ʊ̯ m h o l d e ɾ
bautzer|b a ʊ̯ t͡s e ɾ
bayanjou|b ɐ j ɐ ŋ h o ʊ̯
baynes|b a ɪ̯ n e s
baz|b ɐ s
beacham|b e ɐ x a m
beagan|b e ɐ ɰ a n
bean's|b e ɐ n s
bearish|b e ɐ ɾ i ʃ
becher|b e t͡ʃ e ɾ
beckles|b e k l e s
beebower(2)|b e ʔ e b o w e ɾ
beekeepers|b e e x e e p e ɾ s
befuddles|b e f ʊ dː l e s
begun|b e ɰ ʊ n
beholding|b e h o l d ɪ ŋ
belka|b e l k ɐ
bellcore's|b e l k o ɾ e s
bellina|b e l l i n ɐ
bellowed|b e l l o w e d
beloit|b e l o ʔ ɪ t
belsito|b e l s i t o
belva|b e l b ɐ
bembenek|b e m b e n e k
benami|b e n a m ɪ
benchmark's|b e n t͡ʃ m ɐ ɾ k s
beneficent|b e n e f ɪ s e n t
bengoechea(2)|b e ŋ o e t͡ʃ e ɐ θ e
benlate|b e n l a t e
benninghoff|b e n n ɪ ŋ h o f
bentonville|b e n t o n b i l j e
benziger|b e n s ɪ ɰ e ɾ
berchenall|b e ɾ t͡ʃ e n a l l
bergdahl|b e ɾ ɡ d ɐ h l
bergmann|b e ɾ ɡ m a n ə n
berkshire(2)|b e ɾ k ʃ i ɾ e
berson|b e ɾ s o n
bertelsmann's|b e ɾ t e l s m ɐ n n s
bertolini|b e ɾ t o l i n ɪ
beschloss's|b e s t͡ʃ l o s
betke|b e t k e
betsill|b e t͡ʃ ɪ l l
bevel|b e b e l
bewildering|b e w ɪ l d e ɾ ɪ ŋ
bialik|b ɪ ɐ l i k
bickle|b ɪ k l e
bicyclists|b ɪ s ɪ k l i s t s
bielecki|b j e l e t͡s k ɪ
bierley|b j e ɾ l e ɪ̯
bifocals|b ɪ f o x a l s
bigley|b ɪ ɡ l e ɪ̯
bihari(2)|b ɪ h a ɾ ɪ ʔ
billett|b ɪ l j e t t
billiot|b ɪ l l ɪ o t
binetti|b ɪ n e t͡ʃ i
binns|b ɪ n s
biondolillo|b ɪ o n d o l i l j o
biospheres|b ɪ o s p h e ɾ e s
bippus|b ɪ p p u s
birdfeather's|b ɝ d f æ͜ɑː ð e ɾ s
birky|b ɪ ɾ k i
bismarck's|b ɪ s m a ɾ k s
bitler|b ɪ t l e ɾ
bittle|b ɪ t l e
bivalves|b ɪ b a l b e s
bizarre(2)|b ɪ s a ɾ ɾ e
blachly|b l a x l ɪ
blackett|b l ɐ k e t
blackmer|b l ɐ k m e ɾ
blackstone's|b l ɐ k s t o n s
blatchley|b l ɐ t͡ʃ l e ɪ̯
blendax|b l e n d a k s
blevins|b l e b ɪ n s
blindsided|b l ɪ n d s ɪ d e d
blixt|b l i k s t
block's|b l ɔ k s
blomstrom|b l u m s t ɾ o m
bluebonnets|b l ʊ b o n e t s
blundall|b l ʊ n d a l l
boasted(2)|b o ɐ s t e d
bobbitt's|b o b b ɪ t s
boddy|b o d d͡ʒ ɪ
boehringer|b o e ɾ ɪ ŋ e ɾ
bog(2)|b o ɡ
bogdanowicz|b o ɡ d ɐ n o w ɪ t͡ʃ
bohle|b o h l e
bolanger|b o l a ŋ e ɾ
bollore|b o l j o ɾ e
boltzmanns|b o l t͡s m ɐ n n s
bombay's|b u m b a ɪ̯ s
bondt|b o n t
bonjour|b o ŋ d͡ʒ o ʊ ɾ
bonsai(2)|b o n s a ɪ̯
bootstraps|b o ʔ o t s t ɾ ɐ p s
borawski|b o ɾ a ʊ̯ s k ɪ
bordes|b o ɾ d e s
boric|b o ɾ ɪ k
boros|b o ɾ o s
bosler|b o s l e ɾ
boucher(2)|b o ʊ̯ t͡ʃ e ɾ
boulais|b o ʊ̯ l a ɪ̯ s
bounciness|b o ʊ̯ n s ɪ n e s
bouygues(2)|b o ʊ̯ ɰ e s
bowman's|b o ʊ̯ m ɐ n s
boxing's|b o k s ɪ ŋ s
boycotts|b o ɪ̯ x o t͡ʃ t͡ʃ
brabender|b ɾ ɐ b e n d e ɾ
bradleys|b ɾ ɐ d l e ɪ̯ s
bramel|b ɾ ɐ m e l
brandywine|b ɾ ɐ n d͡ʒ w i n e
brassard|b ɾ ɐ s a ɾ d
bratten|b ɾ a t e n
braund|b ɾ a ʔ ʊ n d
brawer|b ɾ a w e ɾ
brazelton|b ɾ ɐ s e l t o n
breco|b ɾ e x o
breen|b ɾ e ʔ e n
breisch|b ɾ e ʃ
brenn|b ɾ e n n
brezinski|b ɾ e s i n s k ɪ
brickey|b ɾ ɪ k e ɪ̯
briner|b ɾ ɪ n e ɾ
brinner|b ɾ ɪ n n e ɾ
broadcasts(3)|b ɾ o ɐ̯ d k ɐ s t s
brocades|b ɾ o x a d e s
brockmeier|b ɾ o k m e j e ɾ
brodkin|b ɾ o d k ɪ n
broich|b ɾ o ɪ̯ t͡ʃ
brooklyn's|b ɾ ʊ k l ɪ n s
broshears|b ɾ o s h e ɐ ɾ s
broucek|b ɾ o ʊ̯ s e k
brownest|b ɾ a ʊ̯ n e s t
broxterman|b ɾ o k s t e ɾ m ɐ n
bruckner|b ɾ ʊ k n e ɾ
brummell|b ɾ ʊ m m e l
brunetto|b ɾ ʊ n e t o
brunswick's|b ɾ ʊ n s w ɪ k s
brusquely|b ɾ ʊ s k e l ɪ
bruzzese|b ɾ ʊ s e s e
bryner|b ɾ ɪ n e ɾ
buboltz|b ʊ b o l t͡s
buc|b ʊ k
buchannan|b ʊ t͡ʃ a n ɐ n
buchsbaum|b ʊ k s b a ʊ̯ m
buddin|b ʊ d d i n
budging|b ʊ d ɡ i ŋ
budz|b ʊ d͡ʒ
buffered|b ʊ f e ɾ e d
bugh|b ʊ ɡ h
builder's|b ɪ l d e ɾ s
bulgaria's|b ʊ l ɡ a ɾ j ɐ s
bultman|b ʊ l t m a n
bumpas|b u m p ɐ s
bunt's|b ʊ n t s
buoyed|b ʊ ʔ o j e d
burdening|b ʊ ɾ d e n ɪ ŋ
burgeoned|b ʊ ɾ ɡ i o n e d
burkle|b ʊ ɾ k l e
burlingham|b ʊ ɾ l ɪ ŋ h a m
burp|b ʊ ɾ p
burtner|b ʊ ɾ t n e ɾ
buser|b ʊ s e ɾ
butchery|b ʊ t͡ʃ e ɾ ɪ
butlers|b ʊ t l e ɾ s
butterfield|b ʊ t e ɾ f i e l d
buttry|b ʊ t ɾ i
buzzard|b ʊ s a ɾ d
byers|b j e ɾ s
bynes|b ɪ n e s
cablevision's|k x ɐ b l e b ɪ ʃ o n s
cacique|k x ɐ s i x e
caines|k x ɐ ʔ i n e s
cala|k x a l ɐ ʔ
calbos|k x a l b o s
calf's|k x a l f s
callicutt|k x ɐ l l ɪ x u t
calmaquip|k x ɐ l m a x ɪ p
calvaries|k x ɐ l b a ɾ ɪ e s
cam's|k x ɐ m s
cancelling(2)|k x ɐ n s e l l ɪ ŋ
candee|k x ɐ n d e ʔ e
canfor's|k x ɐ n f o ɾ s
cantonal|k x ɐ n t o n a l
capeci(2)|k x ɐ p e s ɪ ʔ
capobianco|k x ɐ p o b j a ŋ k o
cappelli|k x ɐ p e l l ɪ
carbohydrate(2)|k x ɐ ɾ b o h ɪ d ɾ a t e
carborundum|k x ɐ ɾ b o ɾ ʊ n d u m
carded|k x ɐ ɾ d e d
cardinali|k x ɐ ɾ d ɪ n a l ɪ
cardy|k x a ɾ d ɪ
caroselli|k x ɐ ɾ o s e l l ɪ
carriage(2)|k x ɐ ɾ ɪ ɐ ɰ e
carson(2)|k x ɐ ɾ s o n
cartwheels|k x ɐ ɾ t w e e l s
carvell(2)|k x ɐ ɾ b e l l
casagrande|k x ɐ s ɐ ɡ ɾ a n d e
cascades'|k x ɐ s k a d e s
casher|k x ɐ s h e ɾ
casler|k x ɐ s l e ɾ
caterpillar(2)|k x ɐ t e ɾ p ɪ l l a ɾ
cathers|k x ɐ t h e ɾ s
cattlemen(2)|k x ɐ t l e m e n
cavanah|k x ɐ b a n ɐ h
cawthorne|k x a ʊ̯ t h o ɾ n e
cayson|k x a ɪ̯ s o n
cederquist|s e d e ɾ k ɪ s t
censured|s e n s ʊ ɾ e d
center(2)|s e n t e ɾ
centerville|s e n t e ɾ b i l j e
centralize|s e n t ɾ ɐ l i s e
centum|s e n t ʊ m
cerney|s e ɾ n e ɪ̯
certo|s e ɾ t o
cerveny|s e ɾ b e ɲ
ceta(2)|s e t ɐ ʔ o
chaff|t͡ʃ ɐ f f
chained|t͡ʃ a ɪ̯ n e d
chalked|t͡ʃ ɐ l k e d
chanted|t͡ʃ ɐ n t e d
chapin|t͡ʃ a p ɪ n
charissa|t͡ʃ ɐ ɾ i s ɐ
charles'(2)|t͡ʃ ɐ ɾ l e s
charlotteville|t͡ʃ ɐ ɾ l o t e b ɪ l l e
charvat|t͡ʃ a ɾ b ɐ t
chatted(2)|t͡ʃ ɐ t e d͡ʒ
chauffeur's(2)|t͡ʃ o f e ʊ̯ ɾ s
chavez(2)|t͡ʃ ɐ b e s
cheatwood|t͡ʃ i t w ʊ d
cheeser|t͡ʃ e ʔ e s e ɾ
chemists(4)|t͡ʃ e m ɪ s t͡ʃ
chernenko|t͡ʃ e ɾ n e ŋ k o
chevrolet's(2)|t͡ʃ e v ɾ o l e s
chikane|t͡ʃ ɪ x a n e
childener's|t͡ʃ ɪ l d e n e ɾ s
chilies|t͡ʃ ɪ l j e s
chimicles|t͡ʃ ɪ m i k l e s
chirico|t͡ʃ ɪ ɾ i x o
chrobak|t͡ʃ ɾ o b ɐ k
chroniclers|t͡ʃ ɾ o n ɪ k l e ɾ s
chubbuck|t͡ʃ ʊ b b ʊ k
chumney|t͡ʃ u m n e ɪ̯
chustz|t͡ʃ ʊ s t͡s
cianciola|ʃ ɐ n ʃ o l ɐ
cinnaminson|s ɪ n n ɐ m ɪ n s o n
circuses|s ɪ ɾ k ʊ s e s
ciszek|s ɪ s e k
claflin|k x l ɐ f l i n
clarabelle|k x l ɐ ɾ ɐ b e l l e
clarinetists(2)|k x l ɐ ɾ ɪ n e t ɪ s t s
clashed|k x l ɐ s h e d
classifies|k x l ɐ s ɪ f i e s
claudina(2)|k x l a ʊ̯ d i n ɐ ʔ o
clavin|k x l ɐ b i n
clerissa|k x l e ɾ i s ɐ
clewis|k x l e w ɪ s
cliff's|k x l ɪ f s
cling|k x l ɪ ŋ
cloisters|k x l o ɪ̯ s t e ɾ s
closedowns|k x l o s e d a ʊ̯ n s
clutching|k x l ʊ t͡ʃ i ŋ
coatesville|k x o ɐ t e s b ɪ l l e
coben|k x o b e n
cobrin|k x o b ɾ ɪ n
cocoanuts|k x o x o ɐ n u t s
coddling|k x o d l ɪ ŋ
cogency|k x o ɰ e n s ɪ
colasurdo|k x o l ɐ s u ɾ d o
coldwater|k x o l d w ɐ t e ɾ
collards|k x o l j a ɾ d͡ʒ
collector's|k x o l e k t o ɾ s
coller|k x o l l e ɾ
collodion|k x o l l o d͡ʒ o n
colpitts|k x o l p ɪ t͡ʃ
combine(2)|k x u m b ɪ n e
comically|k x o m ɪ x a l l ɪ
commerciale's|k x u m e ɾ ʃ a l e s
commissar|k x u m m ɪ s a ɾ
committees'|k x u m ɪ t e ʔ e s
community's|k x u m j ʊ n ɪ t i s
compartmentalized|k x u m p ɐ ɾ t m e n t ɐ l i s e d
complementary(2)|k x u m p l e m e n t a ɾ ɪ
complies|k x u m p l ɪ e s
composes|k x u m p o s e s
compounded|k x u m p o ʊ̯ n d e d
comtois|k x u m t o ʔ ɪ s
conatser|k x o n a t͡ʃ e ɾ
concentrating|k x o n s e n t ɾ a t ɪ ŋ
concessional|k x o n s e ʃ o n a l
condemns|k x o n d e m n s
condry|k x o n d ɾ ɪ
conehead|k x o n e h e ɐ d
conference(2)|k x o n f e ɾ e n s e
confided(2)|k x o n f ɪ d e d
conformed|k x o n f o ɾ m e d
congregation's|k x o ŋ ɡ ɾ e ɰ a ʃ o n s
conical|k x o n ɪ x a l
conjugated(2)|k x o n d͡ʒ ʊ ɰ a t e d
connerly|k x o n e ɾ l ɪ
conrow|k x o n ɾ o ʊ̯
conservatively|k x o n s e ɾ b ɐ t i b l i
consoli|k x o n s o l ɪ
conspiracies|k x o n s p ɪ ɾ a s ɪ e s
constrictions|k x o n s t ɾ ɪ k ʃ o n s
consumerists(2)|k x o n s ʊ m e ɾ ɪ s t s
containers'|k x o n t a ɪ̯ n e ɾ s
contract(2)|k x o n t ɾ ɐ k t
convicting|k x o m b i k t ɪ ŋ
conyers|k x o ɲ e ɾ s
coomer|k x u m e ɾ
cooperman|k x o ʔ o p e ɾ m ɐ n
coppers|k x o p p e ɾ s
cordage|k x o ɾ d a x e
cordill|k x o ɾ d i l l
cordry|k x o ɾ d ɾ ɪ
coriell|k x o ɾ j e l l
corkran|k x o ɾ k ɾ ɐ n
cornett|k x o ɾ n e t t
corrie|k x o ɾ ɾ ɪ e
corsini|k x o ɾ s i n ɪ
cosic|k x o s ɪ k
cossette|k x o s e t e
coster|k x o s t e ɾ
costumed|k x o s t u m e d
cottingham|k x o t ɪ ŋ h a m
coughing(2)|k x o ʊ̯ ɡ h ɪ ŋ k
counihan|k x o ʊ̯ n i h ɐ n
counterinsurgency(2)|k x o ʊ n t e ɾ ɪ n s ʊ ɾ d͡ʒ e n s
countersuit(2)|k x o ʊ̯ n t e ɾ s u ɪ t
coursen|k x o ʊ̯ ɾ s e n
cousineau|k x o s ɪ n o
coverage(3)|k x o v e ɾ ɐ ɰ e
covino|k x o b i n o
cowger|k x o ʊ̯ ɰ e ɾ
coye|k x o j e
cozad|k x o s ɐ d
cracraft|k x ɾ ɐ k ɾ a f t
cragin|k x ɾ a ɰ ɪ n
cramping|k x ɾ ɐ m p i ŋ
cranks|k x ɾ ɐ ŋ k s
crash's|k x ɾ ɐ ʃ
craves|k x ɾ a b e s
creagh|k x ɾ e ɐ ɡ
creek's|k x ɾ e ʔ e k s
creutzfeldt|k x ɾ e ʔ ʊ t͡s f e l t
crisafi|k x ɾ ɪ s a f ɪ ʔ
crisman|k x ɾ ɪ s m a n
crisscross|k x ɾ ɪ s k ɾ o s
critter|k x ɾ ɪ t e ɾ
croissants|k x ɾ o ɪ̯ s a n t s
crosbie|k x ɾ o s b i
crounse|k x ɾ o ʊ̯ n s e
crowle|k x ɾ o w l e
cruces|k x ɾ u s e s
cruey|k x ɾ u e ɪ̯
crummett|k x ɾ u m m e t
cruze|k x ɾ u s e
cudmore|k x ʊ d m o ɾ e
culbert|k x ʊ l b e ɾ t
cummins's|k x u m ɪ n s ɪ s
cunnane|k x ʊ n n a n e
curiale|k x ʊ ɾ j a l e
cusmano|k x ʊ s m a n o
cutlip|k x ʊ t l i p
cutworm|k x ʊ t w o ɾ m
cyacq|t͡ʃ a k k
cyclicals|s ɪ k l i x ɐ l s
cynwyd|k x ɪ n w ɪ d
cytherea|s ɪ t h e ɾ e ɐ
d'alene|d ɐ l e n e
d'etat|d e t ɐ t
daimler(2)|d ɐ ʔ ɪ m l e ɾ
daleth|d a l e t
daltons|d ɐ l t o n s
dammed|d ɐ m e d
dampened|d ɐ m p e n e d
danaher|d ɐ n a h e ɾ
dancey|d a n s e ɪ̯
danners|d ɐ n e ɾ s
daponte|d ɐ p o n t e
darga|d a ɾ ɡ ɐ
darke|d a ɾ k e
darman|d ɐ ɾ m a n
dartmouth's|d ɐ ɾ t m o ʊ̯ θ s
dasch|d a s k
data's(2)|d ɐ t ɐ s
datapoint|d ɐ t ɐ p o ʔ ɪ n t
datext|d ɐ t e k s t
datum(2)|d ɐ t u m ʔ o
daughtrey|d a ʔ u t ɾ e ɪ̯
davino|d ɐ b i n o
dax's|d a k s
daytimes|d a ɪ̯ t i m e s
deaner|d e ɐ n e ɾ
dease|d e ɐ s e
deatrick|d e ɐ t ɾ i k
deberry|d e b e ɾ ɾ ɪ
debolt|d e b o l t
debuhr|d e b u h ɾ
decamillo's|d e x ɐ m i l j o s
dececco|d e s e k o
decimation|d e s ɪ m a ʃ o n
decoursey|d e x o ɾ s e ɪ̯
decworld|d e k w o ɾ l d
dedicating|d e d ɪ x a t ɪ ŋ
deducts|d e d ʊ k t s
deel|d e ʔ e l
deerborne|d e e ɾ b o ɾ n e
defeatist|d e f e ɐ t i s t
defense's|d e f e n s e s
defiore|d e f ɪ o ɾ e
deformities|d e f o ɾ m ɪ t͡ʃ e s
degenerates|d e h e n e ɾ a t e s
degrade|d e ɡ ɾ a d e
dehoff|d e h o f
deighan|d e ɪ̯ ɡ h a n
deisher|d e ɪ̯ s h e ɾ
delahanty|d e l ɐ h a n t ɪ
delee|d e l e
delicacy(2)|d e l ɪ x a s ɪ
dell's|d e l l s
delsanto|d e l s a n t o
delwyn|d e l w ɪ n
demandingly|d e m ɐ n d i ŋ l ɪ
demilo(2)|d e m i l o
demming|d e m m ɪ ŋ
democrats'|d e m o k ɾ ɐ t s
demonstrated|d e m o n s t ɾ a t e d
demory|d e m o ɾ ɪ
deneau|d e n e a ʊ̯
dennington|d e n n ɪ ŋ t o n
denounces|d e n o ʊ̯ n s e s
denting|d e n t ɪ ŋ
denuclearization|d e n ʊ k l e ɐ ɾ ɪ s a ʃ o n
dependency|d e p e n d e n s ɪ
depew|d e p e ʊ̯
dercole|d e ɾ k o l e
derocco|d e ɾ o k o
dervish|d e ɾ b ɪ ʃ
descendent|d e s s e n d e n t
desecrated|d e s e k ɾ a t e d
deserting|d e s e ɾ t ɪ ŋ
deslauriers|d e s l a ʊ̯ ɾ j e ɾ s
desperate(2)|d e s p e ɾ ɐ t e
desrosiers|d e s ɾ o s j e ɾ s
destructs|d e s t ɾ ʊ k t s
detailing|d e t a ɪ̯ l ɪ ŋ
determinate|d e t e ɾ m ɪ n a t e
detherage|d e t h e ɾ a ɰ e
detours|d e t o ʊ ɾ s
deubler(2)|d e u b l e ɾ
devall|d e b a l l
deviates|d e b ɪ a t e s
dewitz|d e w ɪ t͡s
diamanta|d ɪ ɐ m a n t ɐ
diaries(2)|d ɪ ɐ ɾ j e s
dibble|d ɪ b b l e
dibs|d ɪ b s
dickel|d ɪ k e l
dickler|d ɪ k l e ɾ
dictated(3)|d ɪ k t a t e d
diekmann|d ɪ e k m a n n
dietzel|d ɪ e t͡ʃ e l
differentiate|d ɪ f ɪ ɾ e n ʃ a t e
digestible|d ɪ d͡ʒ e s t ɪ b l e
dilithium|d ɪ l ɪ t h i ʊ̃ m
diminished|d ɪ m ɪ n ɪ s h e d
directions(4)|d ɪ ɾ e k ʃ o n s
directorial(3)|d ɪ ɾ e k t o ɾ j ɐ l s e
disables|d ɪ s a b l e s
disapproves|d ɪ s ɐ p ɾ u b e s
disband|d ɪ s b a n d
discounting(2)|d ɪ s k o ʊ̯ n t ɪ ŋ
disembodied|d ɪ s e m b o d͡ʒ e d
disilvestro|d ɪ s ɪ l b e s t ɾ o
disintegrates|d ɪ s ɪ n t e ɡ ɾ a t e s
dismutase|d ɪ s m ʊ t a s e
dissatisfy|d ɪ s ɐ t i s f ɪ
dissimilarity|d ɪ s ɪ m ɪ l ɐ ɾ i t͡ʃ
distressingly|d ɪ s t ɾ e s ɪ ŋ l ɪ
dittmann|d ɪ t m a n
diversity(2)|d ɪ b e ɾ s ɪ t͡ʃ
dobkins|d o b k ɪ n s
dobrowolski|d o b ɾ o w o l s k ɪ
dockside|d o k s a ɪ̯ d e
dolen|d o l e n
dolinski|d o l i n s k ɪ
dolly's|d o l l ɪ s
dombkowski|d u m b k o ʊ̯ s k i
dominee|d o m ɪ n e ʔ e
donald's|d o n a l d s
doner|d o n e ɾ
dongmei|d o ŋ m e ɪ̯
donkeys|d o ŋ k e ɪ̯ s
donohue(2)|d o n o h ʊ e
dornak|d o ɾ n ɐ k
dort|d o ɾ t
dougans|d o w ɰ ɐ n s
dowda|d o w d ɐ
downcast|d o w ŋ k ɐ s t
